genes	v3_locus
GRMZM2G001426	gras46
GRMZM2G001444	csu622
GRMZM2G001457	phot1
GRMZM2G001500	bcd1072b(hsp70)
GRMZM2G001508	vsp1
GRMZM2G001530	pza01877
GRMZM2G001639	PCO071075
GRMZM2G001653	pco139896
GRMZM2G001661	IDP1478
GRMZM2G001663	farl1
GRMZM2G001668	pti4
GRMZM2G001696	pck1
GRMZM2G001699	e2f1
GRMZM2G001721	ofp32
GRMZM2G001799	iaa41
GRMZM2G001803	zip1
GRMZM2G001805	si496028c11
GRMZM2G001812	umc83a
GRMZM2G001824	myb134
GRMZM2G001875	myb131
GRMZM2G001887	pco126682d
GRMZM2G001898	aldh21
GRMZM2G001904	ftcl1
GRMZM2G001918	pco070745
GRMZM2G001930	myc7
GRMZM2G001953	rop8
GRMZM2G002023	pco098921
GRMZM2G002075	bzip123
GRMZM2G002100	mpk7
GRMZM2G002115	TIDP3440
GRMZM2G002119	ereb158
GRMZM2G002128	mybr3
GRMZM2G002130	pco134378
GRMZM2G002131	hsftf1
GRMZM2G002142	abh5
GRMZM2G002165	hcf148
GRMZM2G002178	aos2
GRMZM2G002225	knox10
GRMZM2G002260	wi5
GRMZM2G002276	taf1
GRMZM2G002280	pco138005
GRMZM2G002427	cl17205_1
GRMZM2G002515	brl2
GRMZM2G002578	pco142991
GRMZM2G002616	eif6
GRMZM2G002626	cl40113_1
GRMZM2G002652	pzb01021
GRMZM2G002656	Zm00001d037650
GRMZM2G002687	pco072468
GRMZM2G002786	dhn7
GRMZM2G002807	tpi2
GRMZM2G002825	adf10
GRMZM2G002858	IDP2398
GRMZM2G002859	bcd207b
GRMZM2G002879	umc1554
GRMZM2G002903	AI691686
GRMZM2G002915	hb34
GRMZM2G002959	pza00473
GRMZM2G002978	thx26
GRMZM2G003038	uaz7c01c10
GRMZM2G003043	rrb1
GRMZM2G003064	erg28
GRMZM2G003076	TIDP2770
GRMZM2G003090	pco062216(723)
GRMZM2G003124	pco135291b
GRMZM2G003172	IDP705
GRMZM2G003179	copt1
GRMZM2G003182	sig3
GRMZM2G003289	cys4
GRMZM2G003304	hb112
GRMZM2G003318	fbn1
GRMZM2G003368	sacd4
GRMZM2G003406	myb124
GRMZM2G003409	mmc0381
GRMZM2G003411	mmp94
GRMZM2G003424	c3h45
GRMZM2G003426	si603038d03
GRMZM2G003466	ereb101
GRMZM2G003489	hsftf17
GRMZM2G003501	gl4
GRMZM2G003509	hb119
GRMZM2G003514	zag5
GRMZM2G003551	wrky118
GRMZM2G003558	eil2
GRMZM2G003565	rcc2
GRMZM2G003607	TIDP3263
GRMZM2G003640	IDP3803
GRMZM2G003669	vq32
GRMZM2G003715	nactf61
GRMZM2G003732	AW225120
GRMZM2G003734	si486029c04
GRMZM2G003762	alp1
GRMZM2G003765	morf9
GRMZM2G003789	pco098114
GRMZM2G003794	xyl8
GRMZM2G003838	pmei44
GRMZM2G003852	cl10369_1
GRMZM2G003869	asg49
GRMZM2G003883	phm15899
GRMZM2G003897	pco085368
GRMZM2G003927	ra1
GRMZM2G003944	tcptf2
GRMZM2G003947	si605011d10
GRMZM2G003988	pco141112
GRMZM2G003992	mlkp3
GRMZM2G004012	umc1431
GRMZM2G004060	wrky15
GRMZM2G004090	myb87
GRMZM2G004140	pco116249
GRMZM2G004183	AY109934
GRMZM2G004207	Zm00001d020631
GRMZM2G004222	si606013c03
GRMZM2G004259	TIDP3048
GRMZM2G004301	cl218_1
GRMZM2G004320	pco145633
GRMZM2G004334	hb10
GRMZM2G004349	pco082817
GRMZM2G004356	bhlh159
GRMZM2G004377	umc1675
GRMZM2G004397	pco148373a
GRMZM2G004435	pgl10
GRMZM2G004440	ysl18
GRMZM2G004459	IDP1633
GRMZM2G004468	mkk3
GRMZM2G004483	cct2
GRMZM2G004528	mips2
GRMZM2G004531	nactf79
GRMZM2G004534	pyk2
GRMZM2G004548	platz11
GRMZM2G004582	pco121275a
GRMZM2G004583	ij1
GRMZM2G004619	grftf2
GRMZM2G004641	hb64
GRMZM2G004663	nlp16
GRMZM2G004683	dfr1
GRMZM2G004690	ult1
GRMZM2G004696	iaa8
GRMZM2G004699	gpm65
GRMZM2G004748	AY110310
GRMZM2G004856	xyl4
GRMZM2G004878	umc1511
GRMZM2G004880	pdrp2
GRMZM2G004898	smr7
GRMZM2G004927	pme31
GRMZM2G004957	hb18
GRMZM2G004959	limtf10
GRMZM2G004990	umc1456
GRMZM2G004996	pco100001
GRMZM2G005024	orp2
GRMZM2G005036	pco071606
GRMZM2G005040	hak11
GRMZM2G005066	c1
GRMZM2G005080	uaz237a(prc)
GRMZM2G005082	cl23834_1
GRMZM2G005103	cl34424_1
GRMZM2G005112	mybr46
GRMZM2G005126	c3h24
GRMZM2G005155	mads9
GRMZM2G005207	wrky63
GRMZM2G005284	arftf38
GRMZM2G005298	sbe3
GRMZM2G005301	ereb144
GRMZM2G005304	atg7
GRMZM2G005310	met5
GRMZM2G005346	pza02450
GRMZM2G005350	mkp1
GRMZM2G005353	yab14
GRMZM2G005459	pco079656
GRMZM2G005483	sun4
GRMZM2G005536	dpold3b
GRMZM2G005562	pco073276b
GRMZM2G005619	cyc5
GRMZM2G005624	gt1
GRMZM2G005633	ctb1
GRMZM2G005652	umc1396
GRMZM2G005710	dhar2
