genes	v3_locus
GRMZM2G481755	umc1752
GRMZM2G481843	gl26
GRMZM2G481904	gpx14
GRMZM2G482245	pmei13
GRMZM2G482256	bnl4.36
GRMZM2G484880	pco127259
GRMZM2G492156	mads19
GRMZM2G493395	dxs2
GRMZM2G493549	smr10
GRMZM2G494514	Zm00001d016615
GRMZM2G495626	cdc3
GRMZM2G496770	myb166
GRMZM2G497710	GRMZM2G497710
GRMZM2G498656	laz2
GRMZM2G501775	wrky4
GRMZM2G503738	cl5021_1
GRMZM2G510387	pco138486
GRMZM2G512113	GRMZM2G512113
GRMZM2G516301	wrky80
GRMZM2G521862	mkaku42
GRMZM2G522066	abi9
GRMZM2G524937	pco097858
GRMZM2G525788	cle25
GRMZM2G526668	bhlh40
GRMZM2G527891	trps5
GRMZM2G529859	yab15
GRMZM2G531738	mybr62
GRMZM2G532534	gata10
GRMZM2G537291	pco062200a
GRMZM2G538064	cl6880_1
GRMZM2G542497	AW308691
GRMZM2G543629	sig1B
GRMZM2G544539	ereb28
GRMZM2G546254	rlsb2
GRMZM2G546369	mybr65
GRMZM2G546452	atg18g
GRMZM2G547542	pco078062b
GRMZM2G549512	wrky122
GRMZM2G550865	relk3
GRMZM2G552322	pco096192
GRMZM2G553379	zmm15
GRMZM2G558539	IDP1959
GRMZM2G563190	pco100812
GRMZM2G565441	GRMZM2G565441
GRMZM2G566786	cps5
GRMZM2G568636	nnr1
GRMZM2G571844	php06005
GRMZM2G573324	iaa36
GRMZM2G574782	IDP388
GRMZM2G574858	chr127
GRMZM2G574887	mab9
GRMZM2G575566	krp5
GRMZM2G577405	pco077498
GRMZM2G577677	pco064025
GRMZM2G578572	umc120a
GRMZM2G579719	cl804_1
GRMZM2G582893	ca2p2
GRMZM2G587231	TIDP2773
GRMZM2G589470	tcptf33
GRMZM2G589579	ago4a
GRMZM2G589696	dof43
GRMZM2G700011	mybr72
GRMZM2G700132	pco092990(678)
GRMZM2G700208	TIDP3581
GRMZM2G700665	rap2
GRMZM2G700893	pco073219b
GRMZM2G700926	pco131239
GRMZM2G701063	pl1
GRMZM2G701082	pco091529
GRMZM2G701180	pco140565
GRMZM2G701206	umc1859
GRMZM2G701207	hagtf30
GRMZM2G701218	glk43
GRMZM2G701221	AY104923
GRMZM2G701297	fha11
GRMZM2G701566	cl38706_1
GRMZM2G701585	umc2789
GRMZM2G701673	vde2
GRMZM2G701688	si606073e06
GRMZM2G701689	cpp10
GRMZM2G701801	pco085431
GRMZM2G702026	arftf36
GRMZM2G702036	mmp5
GRMZM2G702335	GRMZM2G702335
GRMZM2G702426	rpl17b
GRMZM2G702806	umc1559
GRMZM2G702889	pco108652
GRMZM2G703077	pco120004
GRMZM2G703231	pco080190
GRMZM2G703555	cl35724_1
GRMZM2G703582	fht2
GRMZM2G703918	AY110356
GRMZM2G703928	AY110191
GRMZM2G704053	Zm00001d033836
GRMZM2G704150	pco124606
GRMZM2G704330	lbd34
GRMZM2G704488	nas6
GRMZM5G800488	lac20
GRMZM5G800535	vq46
GRMZM5G800586	burp2
GRMZM5G800925	cl27393_1b
GRMZM5G800975	pco146582
GRMZM5G801369	csu268
GRMZM5G801409	npi242b
GRMZM5G801436	cl12258_2b
GRMZM5G801627	c3h39
GRMZM5G801875	AY107628
GRMZM5G801886	umc1626
GRMZM5G801969	phos3
GRMZM5G802392	pco121752
GRMZM5G802566	crp11
GRMZM5G802801	hsp7
GRMZM5G802881	nbcs20
GRMZM5G803308	myb112
GRMZM5G803318	IDP258
GRMZM5G803355	myb51
GRMZM5G803490	imd2
GRMZM5G803812	hb98
GRMZM5G803874	isr1
GRMZM5G803888	nactf96
GRMZM5G803935	ts4
GRMZM5G803949	rop9
GRMZM5G803992	umc2069
GRMZM5G804358	nad4(mtNB)
GRMZM5G804618	znf6
GRMZM5G804671	nad2-A&B(mtNB)
GRMZM5G804772	IDP716
GRMZM5G804893	nfy2
GRMZM5G804976	ms39
GRMZM5G805008	bpd1
GRMZM5G805026	wox13b
GRMZM5G805105	pco149418b
GRMZM5G805387	zmm18
GRMZM5G805505	ereb87
GRMZM5G805526	rps30
GRMZM5G805585	IDP1436
GRMZM5G805627	mch1
GRMZM5G805667	mir164f
GRMZM5G805685	abi41
GRMZM5G805732	IDP630
GRMZM5G806182	aasr3
GRMZM5G806309	cl37436_2
GRMZM5G806358	gtc102
GRMZM5G806387	gl14
GRMZM5G806449	gpm745b
GRMZM5G806469	GRMZM5G806469
GRMZM5G806691	miR390b
GRMZM5G806771	pco142929
GRMZM5G806839	ereb44
GRMZM5G807054	hdac8
GRMZM5G807267	php10012
GRMZM5G807276	IDP582
GRMZM5G807767	ptac14
GRMZM5G807945	mir164a
GRMZM5G808017	AY110410
GRMZM5G808290	cl58136_1
GRMZM5G808366	arftf5
GRMZM5G808624	cl35695_1
GRMZM5G808939	psbB (cp)
GRMZM5G809195	iaa5
GRMZM5G809292	pyg7
GRMZM5G809546	csy1
GRMZM5G809587	cax1
GRMZM5G809663	cadtfr9
GRMZM5G809695	er2
GRMZM5G810099	mir2118d
GRMZM5G810298	ndhB-II (cp)
GRMZM5G810727	umc1930
GRMZM5G811223	IDP1637
GRMZM5G811408	bnlg1879
GRMZM5G811428	mybr51
GRMZM5G811467	mir2118c
GRMZM5G811574	miR399b
GRMZM5G811797	ras7B2
GRMZM5G812270	TIDP3422
GRMZM5G812272	wrky42
GRMZM5G812356	pco074899
GRMZM5G812538	ysl11
GRMZM5G812555	nbcs16
GRMZM5G812660	pco104083
GRMZM5G812738	mbd121
GRMZM5G812774	bzr1
GRMZM5G812883	bhlh52
GRMZM5G812923	pco080890
GRMZM5G813007	hagtf33
GRMZM5G813111	phd35
GRMZM5G813259	cfm1
GRMZM5G813470	pco112738
GRMZM5G813532	bbx7
GRMZM5G813651	nactf95
GRMZM5G813783	cl29474_1(761)
GRMZM5G813892	mybr43
GRMZM5G813909	IDP753
GRMZM5G814101	vq37
GRMZM5G814279	mads74
GRMZM5G814310	si707081c02
GRMZM5G814314	csu456(uce)
GRMZM5G814718	lac12
GRMZM5G814926	ysl9
GRMZM5G814985	dcl104
GRMZM5G815032	atg18g
GRMZM5G815098	GRMZM5G815098
GRMZM5G815128	phos3
GRMZM5G815165	cl4954_1
GRMZM5G815808	umc2173
GRMZM5G815839	cox6b
GRMZM5G815894	rpl5a
GRMZM5G816062	mir164h
GRMZM5G816110	sat3
GRMZM5G816314	ereb104
GRMZM5G816356	IDP546
GRMZM5G816457	wrky72
GRMZM5G817173	cko4
GRMZM5G817255	pco106378b
GRMZM5G817395	Zm00001d038131
GRMZM5G817439	sert4
GRMZM5G817625	pco122156
GRMZM5G817854	bhlh14
GRMZM5G817886	aaa1
GRMZM5G817948	gpm808
GRMZM5G818058	gpm472
GRMZM5G818101	prh9
GRMZM5G818186	IDP1617
GRMZM5G818232	cle16
GRMZM5G818643	bhlh86
GRMZM5G818655	thx41
GRMZM5G818776	bhlh61
GRMZM5G818887	atg3
GRMZM5G818977	hagtf43
GRMZM5G818978	ppr20
GRMZM5G819320	ami2
GRMZM5G819438	pco073370
GRMZM5G819807	pco131370
GRMZM5G820122	mrpa4
GRMZM5G820733	aldh12
GRMZM5G820904	pco070745
GRMZM5G821024	bzip23
GRMZM5G821139	umc1427
GRMZM5G821439	gras49
GRMZM5G821611	AY110290
GRMZM5G821637	umc1605
GRMZM5G821755	zhd21
GRMZM5G821828	bnlg1564
GRMZM5G822317	mmp62
GRMZM5G822449	IDP103
GRMZM5G822593	lox13
GRMZM5G822829	r1
GRMZM5G822970	mmus2
GRMZM5G823017	cl29771_2
GRMZM5G823135	umc1355
GRMZM5G823157	wrky46
GRMZM5G823318	pco067113d
GRMZM5G823891	cl9642_1
GRMZM5G824336	si614074e08(356)
GRMZM5G824600	fdh1
GRMZM5G824689	umc2178
GRMZM5G824843	umc1320
GRMZM5G824920	umc1366
GRMZM5G825192	cl41366_1
GRMZM5G825226	tlc17
GRMZM5G825321	gras31
GRMZM5G825524	vps35
GRMZM5G825609	pco113177
GRMZM5G825707	iaa6
GRMZM5G825759	pco080036b
GRMZM5G825909	atg13c
GRMZM5G826174	cle21
GRMZM5G826194	dhar4
GRMZM5G826216	pap10
GRMZM5G826526	gras12
GRMZM5G826658	GRMZM5G826658
GRMZM5G826763	umc1310
GRMZM5G826824	hyd8
GRMZM5G826838	gpm277
GRMZM5G826979	iqd1
GRMZM5G827026	thkl1
GRMZM5G827171	pco141572
GRMZM5G827186	pco136752
GRMZM5G827286	dgk5
GRMZM5G827505	cl39764_1
GRMZM5G828229	IDP52
GRMZM5G828278	polm2
GRMZM5G828302	pco151017
GRMZM5G828396	bhlh81
GRMZM5G828581	bnlg1074
GRMZM5G828630	alt12
GRMZM5G829103	ca2p6
GRMZM5G829304	TIDP3162
GRMZM5G829408	e2f14
GRMZM5G829544	fat2
GRMZM5G829554	pco105052
GRMZM5G829778	idh2
GRMZM5G829946	gpx2
GRMZM5G830329	ms10
GRMZM5G830671	hb81
GRMZM5G830695	mrpa7
GRMZM5G830874	umc2359
GRMZM5G830932	sig7
GRMZM5G830949	c3h9
GRMZM5G831009	pap30
GRMZM5G831142	umc1320
GRMZM5G831577	ncp2
GRMZM5G831712	parp2
GRMZM5G831780	rpl5c
GRMZM5G831951	umc1538a
GRMZM5G831993	TIDP3207
GRMZM5G832108	pco145462
GRMZM5G832135	lrl3
GRMZM5G832166	pco087396
GRMZM5G832175	mmc0022
GRMZM5G832248	pco146608
GRMZM5G832362	abil1
GRMZM5G832378	AY110060
GRMZM5G832380	IDP1982
GRMZM5G832409	knox5
GRMZM5G832473	nactf93
GRMZM5G832772	mrpa2
GRMZM5G832989	cl17982_1a
GRMZM5G832994	rtl1
GRMZM5G833032	mybr100
GRMZM5G833124	AY107881
GRMZM5G833153	bnlg149
GRMZM5G833253	myb19
GRMZM5G833389	pmg1
GRMZM5G833660	pco105901
GRMZM5G833699	hsp90
GRMZM5G833747	ndpk4
GRMZM5G834335	pco151371
GRMZM5G834377	GRMZM5G834377
GRMZM5G834496	psbJ (cp)
GRMZM5G834532	TIDP2758
GRMZM5G834596	dbb3
GRMZM5G834666	orf140-b (mt)
GRMZM5G834697	mkk1
GRMZM5G834734	mmp118
GRMZM5G834758	hmg1
GRMZM5G834874	abi35
GRMZM5G835213	TIDP2802
GRMZM5G835323	tif1
GRMZM5G835542	mecs1
GRMZM5G835629	si946073e11
GRMZM5G835810	umc2741
GRMZM5G835903	umc2328
GRMZM5G836190	pan1
GRMZM5G836222	znf1
GRMZM5G836250	pco073762
GRMZM5G836314	pco092737
GRMZM5G836429	pco105859
GRMZM5G836567	umc44a
GRMZM5G836588	si486078f09b
GRMZM5G836886	umc2232
GRMZM5G836910	got2
GRMZM5G837018	IDP2450
GRMZM5G837108	ant1
GRMZM5G837251	IDP1450
GRMZM5G837869	cyp13
GRMZM5G837872	si606071d07
GRMZM5G837876	ereb59
GRMZM5G838098	zim27
GRMZM5G838285	nced9
GRMZM5G838324	cg1
GRMZM5G838388	cl15714_1b
GRMZM5G838435	gpm884
GRMZM5G838579	pco129434
GRMZM5G838773	kch8
GRMZM5G838910	cl43997_1
GRMZM5G839014	pco067115
GRMZM5G839411	pin8
GRMZM5G839518	bhlh152
GRMZM5G839969	mads66
GRMZM5G840013	fb1
GRMZM5G840135	mir2275c
GRMZM5G840145	trpp9
GRMZM5G840435	bnlg565
GRMZM5G840559	nad2-A&B(mtNB)
GRMZM5G840560	tdy2
GRMZM5G840582	alt8
GRMZM5G840612	gpm21
GRMZM5G840955	Zm00001d052399
GRMZM5G841015	pex1
GRMZM5G841619	tsa1
GRMZM5G841914	si687064f04
GRMZM5G842019	c3h32
GRMZM5G842058	brk1
GRMZM5G842071	lac1
GRMZM5G842484	hmg12
GRMZM5G842517	atg12
GRMZM5G842695	umc1991
GRMZM5G842855	IDP809
GRMZM5G842961	ereb30
GRMZM5G842965	bnlg2082
GRMZM5G842970	IDP174
GRMZM5G843174	magi73349
GRMZM5G843352	ips1
GRMZM5G843593	mir164g
GRMZM5G843748	pco123006
GRMZM5G843893	phd20
GRMZM5G843991	mbd121
GRMZM5G844080	polm2
GRMZM5G844173	gi2
GRMZM5G844257	cl15755_1
GRMZM5G844562	bm1
GRMZM5G844703	umc2570
GRMZM5G844723	hsk1
GRMZM5G845021	cl1019_1
GRMZM5G845244	rps8 (cp)
GRMZM5G845296	mybr60
GRMZM5G845366	c3h27
GRMZM5G845472	ofp31
GRMZM5G845601	IDP120
GRMZM5G845611	gpb1
GRMZM5G845755	cka4
GRMZM5G846057	ereb34
GRMZM5G846140	si486024d12
GRMZM5G846198	uggt1
GRMZM5G846339	umc2056
GRMZM5G846506	glk35
GRMZM5G846811	rop2
GRMZM5G847045	mbd102
GRMZM5G847287	mybr116
GRMZM5G847466	bnlg1136a
GRMZM5G847530	fdad1
GRMZM5G848185	mybr25
GRMZM5G848602	umc1394
GRMZM5G848692	si707004g09
GRMZM5G848768	umc2308
GRMZM5G848876	hggt3
GRMZM5G848942	bzip19
GRMZM5G849107	ps1
GRMZM5G849149	cl55469_1
GRMZM5G849527	vq48
GRMZM5G849530	magi73926
GRMZM5G849600	bhlh94
GRMZM5G849788	rgh3
GRMZM5G849971	emp21
GRMZM5G850015	phi101049
GRMZM5G850092	thx3
GRMZM5G850129	grftf11
GRMZM5G850567	xyl2
GRMZM5G851026	bnlg197
GRMZM5G851266	ppo1
GRMZM5G851405	hat1
GRMZM5G851485	IDP875
GRMZM5G851655	phos3
GRMZM5G851769	mat-r(mtNB)
GRMZM5G851807	GRMZM5G851807
GRMZM5G852170	rgd2
GRMZM5G852329	umc1652
GRMZM5G852378	cpd33
GRMZM5G852396	hvp1
GRMZM5G852502	sacd1
GRMZM5G852663	brc2
GRMZM5G852704	ereb31
GRMZM5G852801	bzr2
GRMZM5G852877	ucp1
GRMZM5G852886	umc1792
GRMZM5G853066	mads64
GRMZM5G853191	si606071d07
GRMZM5G853392	grftf14
GRMZM5G853479	iaa34
GRMZM5G853836	ca2p5
GRMZM5G854036	cdo98a
GRMZM5G854138	aasr2
GRMZM5G854533	pco113787
GRMZM5G854901	umc1123
GRMZM5G855347	hma8
GRMZM5G855672	dhar1
GRMZM5G855860	si605032f04
GRMZM5G855894	umc2187a
GRMZM5G856297	uaz121a
GRMZM5G856306	pco071747a
GRMZM5G856653	hex5
GRMZM5G856837	bhlh129
GRMZM5G856881	dmes1
GRMZM5G857126	mir164c
GRMZM5G857701	nactf104
GRMZM5G857930	si614066c03
GRMZM5G857936	umc1453
GRMZM5G857944	ca2p13
GRMZM5G857992	ckb1
GRMZM5G858094	acc2
GRMZM5G858197	bzip95
GRMZM5G858417	lpe1
GRMZM5G858454	aco2
GRMZM5G858471	cps5
GRMZM5G858784	nced3
GRMZM5G859099	pin9
GRMZM5G859195	cmk1
GRMZM5G859316	si606008c01
GRMZM5G860072	umc2184
GRMZM5G860226	AY110410
GRMZM5G860235	npi352
GRMZM5G860976	csu1118
GRMZM5G861064	AI676903
GRMZM5G861077	mmp120
GRMZM5G861269	cl3331_-2b
GRMZM5G861300	umc2081
GRMZM5G861678	elm1
GRMZM5G862107	pco138567b
GRMZM5G862109	ts6
GRMZM5G862219	cl716_1
GRMZM5G862317	AI676903
GRMZM5G862467	IDP511
GRMZM5G862488	pco103153
GRMZM5G862663	atpc1
GRMZM5G862882	cl55995_1
GRMZM5G862931	AY110439
GRMZM5G862959	pco119134
GRMZM5G863198	bhlh119
GRMZM5G863420	wrky82
GRMZM5G863784	si683006e11
GRMZM5G864059	vq49
GRMZM5G864133	vq57
GRMZM5G864414	mpkl3
GRMZM5G864815	tdpk2
GRMZM5G864847	bif4
GRMZM5G865626	ca2p9
GRMZM5G865769	pco085637a
GRMZM5G865796	miR390a
GRMZM5G865943	pld17
GRMZM5G865967	bhlh163
GRMZM5G866082	pco119915
GRMZM5G866423	arid9
GRMZM5G866627	dek44
GRMZM5G866699	cadtfr8
GRMZM5G866734	pco137895
GRMZM5G866843	sro2
GRMZM5G866861	scy2
GRMZM5G866918	si605056b12
GRMZM5G866947	csu591(uce)
GRMZM5G866954	tubtf2
GRMZM5G867390	ptr1
GRMZM5G867518	pco097109
GRMZM5G867882	pco096443
GRMZM5G868061	bzr6
GRMZM5G868355	gras26
GRMZM5G868433	pco101521
GRMZM5G868471	lbd35
GRMZM5G868679	pap31
GRMZM5G868757	IDP2367
GRMZM5G868875	gbptf19
GRMZM5G868908	rrph1
GRMZM5G869246	GRMZM5G869246
GRMZM5G869482	si707081c02
GRMZM5G869564	rps15
GRMZM5G869779	fgp2
GRMZM5G869958	mir164d
GRMZM5G869964	MIR159d
GRMZM5G869984	npi607
GRMZM5G870170	mate1
GRMZM5G870176	ufg71
GRMZM5G870184	lac16
GRMZM5G870342	nec4
GRMZM5G870441	mir2118f
GRMZM5G870572	bsdtf3
GRMZM5G870592	myb80
GRMZM5G870752	magi99589
GRMZM5G870920	mir164b
GRMZM5G870932	pck2
GRMZM5G870959	serk1
GRMZM5G871143	IDP447
GRMZM5G871297	pco116016
GRMZM5G871336	umc1608
GRMZM5G871347	wrky93
GRMZM5G871407	tubtf12
GRMZM5G871418	pco108773b
GRMZM5G871419	umc2780
GRMZM5G871463	phd33
GRMZM5G871636	mir2118e
GRMZM5G871861	pco111208
GRMZM5G872068	gln4
GRMZM5G872070	umc2253
GRMZM5G872141	sweet11b
GRMZM5G872147	GRMZM5G872147
GRMZM5G872204	dsc2
GRMZM5G872256	gols3
GRMZM5G872392	sweet15b
GRMZM5G872417	AY110400
GRMZM5G872442	umc1483
GRMZM5G872499	phos3
GRMZM5G873123	cl7692_1(182)
GRMZM5G873287	pco129434
GRMZM5G873335	arid4
GRMZM5G873586	lbd44
GRMZM5G874163	arftf26
GRMZM5G874167	IDP825
GRMZM5G874277	IDP86
GRMZM5G874349	mir2275a
GRMZM5G874478	umc1331
GRMZM5G874500	pco098162
GRMZM5G874545	gras15
GRMZM5G874697	php20531
GRMZM5G874840	pco109288
GRMZM5G875238	sps1
GRMZM5G875502	mez2
GRMZM5G875655	si605089f04
GRMZM5G875676	hagtf14
GRMZM5G875999	cle5
GRMZM5G876003	cl6524_1
GRMZM5G876106	ndhB-I (cp)
GRMZM5G876146	umc2244
GRMZM5G876285	prf3
GRMZM5G876349	mir2275d
GRMZM5G876520	orc4
GRMZM5G876898	IDP232
GRMZM5G877259	pco121381a
GRMZM5G877316	gpm710
GRMZM5G877388	prf5
GRMZM5G877500	eps1
GRMZM5G877647	umc1757
GRMZM5G877788	mfsd2
GRMZM5G877884	IDP174
GRMZM5G877941	si687081f02(195)
GRMZM5G877985	ras8A2
GRMZM5G878008	ras8A2
GRMZM5G878044	AW308691
GRMZM5G878058	umc2232
GRMZM5G878139	pls2
GRMZM5G878153	IDP72
GRMZM5G878308	nad2
GRMZM5G878346	umc2393
GRMZM5G878347	chb101a
GRMZM5G878379	mkk4
GRMZM5G878490	mads62
GRMZM5G878541	wee1
GRMZM5G878558	nnr2
GRMZM5G878561	sbp22
GRMZM5G878823	cl20018_1
GRMZM5G878913	nfa101b
GRMZM5G879527	bhlh112
GRMZM5G879749	cl8680_1
GRMZM5G879778	gata14
GRMZM5G879851	umc2735
GRMZM5G879872	umc2307
GRMZM5G880028	umc95
GRMZM5G880069	wrky109
GRMZM5G880075	mir2118b
GRMZM5G880102	tha1
GRMZM5G880268	dof5
GRMZM5G880508	phm13619
GRMZM5G881088	pht6
GRMZM5G881387	GRMZM5G881387
GRMZM5G881447	TIDP3241
GRMZM5G881464	krp9
GRMZM5G881649	pap32
GRMZM5G881803	mlo8
GRMZM5G881887	hm1
GRMZM5G882378	mch4
GRMZM5G882446	IDP716
GRMZM5G882527	bhlh173
GRMZM5G882708	cl34132_1a
GRMZM5G882821	asg75
GRMZM5G883149	GRMZM5G883149
GRMZM5G883417	sacd8
GRMZM5G883759	umc2793
GRMZM5G883855	am1
GRMZM5G883969	amt8
GRMZM5G883993	arid10
GRMZM5G884137	nkd2
GRMZM5G884242	umc2118
GRMZM5G884349	bzip32
GRMZM5G884466	emb2
GRMZM5G884837	zhd3
GRMZM5G885274	gras41
GRMZM5G885329	nactf18
GRMZM5G885628	asg30b
GRMZM5G885694	mir164e
GRMZM5G885700	cchh133
GRMZM5G886109	ras8A1
GRMZM5G886177	alm3
GRMZM5G886185	umc2624
GRMZM5G886257	me5
GRMZM5G886363	brk3
GRMZM5G886547	umc1318
GRMZM5G886561	nudix22
GRMZM5G886688	nad6
GRMZM5G886952	pco106297a
GRMZM5G886969	IDP2590
GRMZM5G886989	cl8995_1a
GRMZM5G887054	csu36b(rpL19)
GRMZM5G887068	umc1457
GRMZM5G887276	glk48
GRMZM5G887562	upl11
GRMZM5G887647	qpt1
GRMZM5G887975	gata21
GRMZM5G888309	mir2118g
GRMZM5G888696	AY110159
GRMZM5G888934	pmei5
GRMZM5G889052	si946092e03
GRMZM5G889163	mir2275b
GRMZM5G889326	gras77
GRMZM5G889372	phd36
GRMZM5G889467	plc1
GRMZM5G889719	dbf2
GRMZM5G889999	kik1
GRMZM5G890190	pco067622
GRMZM5G890224	ms7
GRMZM5G890599	trpp13
GRMZM5G890665	mate5
GRMZM5G890820	spo2
GRMZM5G891247	pmei11
GRMZM5G891280	mads70
GRMZM5G891944	phos1
GRMZM5G891969	umc1982
GRMZM5G892035	cnr5
GRMZM5G892151	dek36
GRMZM5G892627	GRMZM5G892627
GRMZM5G892991	rgd2
GRMZM5G893117	grf9
GRMZM5G893252	pco086002
GRMZM5G893263	IDP2402
GRMZM5G893444	ysl12
GRMZM5G893913	si945040c06
GRMZM5G893976	alf12
GRMZM5G894016	kcs24
GRMZM5G894156	pco134015
GRMZM5G894234	nactf102
GRMZM5G894582	pco114187
GRMZM5G894619	acs7
GRMZM5G895188	si660041a03
GRMZM5G895282	rps1
GRMZM5G895313	csd4
GRMZM5G895383	gst16
GRMZM5G895400	drg12
GRMZM5G895672	gras43
GRMZM5G896294	umc1919a
GRMZM5G896568	pco077290a
GRMZM5G896708	php20589
GRMZM5G896834	gpm667
GRMZM5G896902	umc1581
GRMZM5G897147	mir2118a
GRMZM5G897224	mmp118
GRMZM5G897776	ss2
GRMZM5G897926	ptac12
GRMZM5G897944	smr8
GRMZM5G897958	cl12999_1
GRMZM5G897988	pco111461
GRMZM5G898274	umc1114
GRMZM5G898290	nactf40
GRMZM5G898305	umc1543
GRMZM5G898314	hdt104
GRMZM5G898471	Zm00001d047726
GRMZM5G898668	xt5
GRMZM5G898684	TIDP3447
GRMZM5G898735	hcf106
GRMZM5G898755	umc1318
GRMZM5G898768	ufg57
GRMZM5G898792	bnlg1677
GRMZM5G898880	si618008g06
GRMZM5G899080	propep1
GRMZM5G899300	bub3
GRMZM5G899349	cyp1
GRMZM5G899476	GRMZM5G899476
GRMZM5G899787	orrm1
GRMZM5G899851	ao2
GRMZM5G899865	bhlh93
GRMZM6G007923	chs1
GRMZM6G025093	atx5
GRMZM6G039492	IDP2395
GRMZM6G073656	cl40696_1
GRMZM6G107785	fbxl1
GRMZM6G161711	glpdh4
GRMZM6G177089	AI861369
GRMZM6G182520	umc1766
GRMZM6G183316	gpm799
GRMZM6G188781	phm4955
GRMZM6G199466	hsp3
GRMZM6G207008	pco064726
GRMZM6G220418	pco101414
GRMZM6G260565	wox4
GRMZM6G274034	AY110566
GRMZM6G285883	umc1428
GRMZM6G287292	bzr2
GRMZM6G300210	ppp1
GRMZM6G310687	hmt1
GRMZM6G331380	fbxl1
GRMZM6G370842	Zm00001d017285
GRMZM6G399977	IDP376
GRMZM6G435471	umc1390
GRMZM6G474234	xat2
GRMZM6G534641	endo3
GRMZM6G542104	umc1501
GRMZM6G557089	phm4955
GRMZM6G602703	umc2681
GRMZM6G617209	Bx6
GRMZM6G639283	rz390c(cyb5)
GRMZM6G648159	PCO101826
GRMZM6G650316	cl5838_2
GRMZM6G706391	csu649(scp)
GRMZM6G711429	pco074340a
GRMZM6G729818	ugp1
GRMZM6G738201	AY110403
GRMZM6G738249	trpp14
GRMZM6G741210	shbp1
GRMZM6G778611	umc1107
GRMZM6G785877	csu620
GRMZM6G790713	nfa101b
GRMZM6G792203	cl3641_1a
GRMZM6G799230	umc1411a
GRMZM6G818567	csu1005
GRMZM6G851663	lbp1
GRMZM6G859365	IDP650
GRMZM6G866436	cl41895_1b
GRMZM6G868472	TIDP3082
GRMZM6G902674	pco128288
GRMZM6G910222	pco097859
GRMZM6G924006	ppd1
GRMZM6G935329	gg2
GRMZM6G942746	cl7443_1
GRMZM6G949474	rfz1
GRMZM6G953609	ache1
GRMZM6G980248	crr5
GRMZM6G986387	hpl1
GRMZM6G990931	si707024f02
GRMZM6G992293	cl40696_1
zma-MIR156b	cg1
zma-MIR159d	MIR159d
zma-MIR164a	mir164a
zma-MIR164b	mir164b
zma-MIR164c	mir164c
zma-MIR164d	mir164d
zma-MIR164e	mir164e
zma-MIR164f	mir164f
zma-MIR164g	mir164g
zma-MIR164h	mir164h
zma-MIR2118a	mir2118a
zma-MIR2118b	mir2118b
zma-MIR2118c	mir2118c
zma-MIR2118d	mir2118d
zma-MIR2118e	mir2118e
zma-MIR2118f	mir2118f
zma-MIR2118g	mir2118g
zma-MIR2275a	mir2275a
zma-MIR2275b	mir2275b
zma-MIR2275c	mir2275c
zma-MIR2275d	mir2275d
zma-MIR390a	miR390a
zma-MIR390b	miR390b
zma-MIR399b	miR399b
GRMZM2G090226	EXO
GRMZM2G090245	ATGER1
GRMZM2G090262	CPL4
GRMZM2G090264	ARR3
GRMZM2G090266	ATGDU3
GRMZM2G090274	ERF1-3
GRMZM2G090324	ATATG3
GRMZM2G090332	FLO10
GRMZM2G090381	ATCNGC1
GRMZM2G090388	ABCG36
GRMZM2G090471	CH-CPN60A
GRMZM2G090487	NDB3
GRMZM2G090524	GWD
GRMZM2G090528	ATCNGC4
GRMZM2G090542	APM1
GRMZM2G090627	MSL5
GRMZM2G090675	CDCP1
GRMZM2G090693	ATFH6
GRMZM2G090725	ATMKK9
GRMZM2G090728	TBL34
GRMZM2G090733	ATKCR1
GRMZM2G090738	OLI7
GRMZM2G090752	AGD1
GRMZM2G090756	FRS6
GRMZM2G090779	IAR3
GRMZM2G090808	GAPCP-1
GRMZM2G090842	ACR8
GRMZM2G090904	RPT3
GRMZM2G090980	ATCAD1
GRMZM2G091006	ARP
GRMZM2G091020	EMB2762
GRMZM2G091039	I9H
GRMZM2G091069	UBP21
GRMZM2G091072	ATHNIR
GRMZM2G091074	GABA-T
GRMZM2G091088	RPM1
GRMZM2G091118	XTH16
GRMZM2G091119	AIMP ALPHA
GRMZM2G091155	GF14 NU
GRMZM2G091168	XRI
GRMZM2G091176	UGT73B5
GRMZM2G091187	ATMVD1
GRMZM2G091191	XTH25
GRMZM2G091228	ARA8
GRMZM2G091247	ATMS2
GRMZM2G091251	ATBPM2
GRMZM2G091287	ATDCL3
GRMZM2G091303	XTH16
GRMZM2G091338	PBS1
GRMZM2G091456	SQE1
GRMZM2G091478	ATATH6
GRMZM2G091510	ATMGT7
GRMZM2G091511	ATSNAP33
GRMZM2G091519	PANB2
GRMZM2G091527	ANT
GRMZM2G091540	IAR3
GRMZM2G091560	GATB
GRMZM2G091563	MPPBETA
GRMZM2G091601	ADG1
GRMZM2G091621	CERK1
GRMZM2G091653	RIC10
GRMZM2G091666	ATHMA8
GRMZM2G091672	RPM1
GRMZM2G091696	RPM1
GRMZM2G091715	ACP4
GRMZM2G091776	CYP97C1
GRMZM2G091837	ATNYE1
GRMZM2G091887	PSY
GRMZM2G091891	ATUPS2
GRMZM2G091900	PAC
GRMZM2G091956	PLA IIA
GRMZM2G092024	AtRLP29
GRMZM2G092085	VCS
GRMZM2G092128	PUB23
GRMZM2G092131	SDG40
