GeneID,ZmPep3,antiZm3
GRMZM5G862799,1.962098441,-1.871511477
GRMZM2G006853,1.955973515,-1.870070103
GRMZM2G003715,1.947088916,-1.865191202
GRMZM2G159110,1.942656369,-1.864413229
GRMZM2G351342,1.93970048,-1.857389745
AC217910.3_FG004,1.938851838,-1.857214789
GRMZM2G015037,1.935007083,-1.856559215
GRMZM2G141399,1.934982021,-1.854306115
GRMZM2G019515,1.933375037,-1.85327762
GRMZM2G047613,1.924421828,-1.852888658
GRMZM2G333049,1.923925756,-1.848681611
GRMZM5G851862,1.919078838,-1.844156825
GRMZM2G062974,1.913757142,-1.844137482
GRMZM5G897851,1.905840222,-1.835353032
GRMZM2G304700,1.905749021,-1.83098781
GRMZM2G374971,1.902845823,-1.828336259
GRMZM2G071846,1.902642796,-1.825883072
GRMZM2G052266,1.897905513,-1.822593325
GRMZM2G302604,1.897809262,-1.820515633
GRMZM2G172230,1.897406038,-1.81950523
GRMZM2G016958,1.894828319,-1.817784829
GRMZM2G068917,1.89200778,-1.808342378
AC205250.3_FG006,1.890750109,-1.80742185
GRMZM2G138744,1.888241289,-1.801051725
GRMZM2G128078,1.884790978,-1.793589064
GRMZM2G126386,1.884645093,-1.789913497
GRMZM2G123667,1.878821201,-1.788943105
GRMZM2G152686,1.878223953,-1.788840031
GRMZM2G416632,1.877691917,-1.788664435
GRMZM2G457562,1.848745655,-1.78494573
GRMZM5G805609,1.831632995,-1.775780549
GRMZM2G338809,1.824795711,-1.775091565
GRMZM2G024733,1.820885245,-1.774687351
GRMZM5G863076,1.819964096,-1.770973986
GRMZM2G072029,1.819353495,-1.769363047
GRMZM2G174315,1.812127777,-1.767211439
GRMZM2G149636,1.809199759,-1.764209883
GRMZM2G079263,1.804692915,-1.75691336
GRMZM2G164912,1.802036131,-1.754759076
GRMZM2G033799,1.798726604,-1.754073099
GRMZM2G098460,1.793961177,-1.753793128
GRMZM2G111579,1.793796936,-1.751977508
GRMZM2G080516,1.7930979,-1.749970156
GRMZM2G094510,1.790709489,-1.747825971
GRMZM2G060842,1.786270864,-1.746571487
GRMZM2G033644,1.784614596,-1.743514025
GRMZM2G064382,1.783875597,-1.741123273
GRMZM2G107739,1.7800068,-1.737786768
GRMZM2G029058,1.776291758,-1.737096018
GRMZM2G064050,1.771677386,-1.736826951
GRMZM2G031177,1.764943689,-1.735700335
GRMZM2G041980,1.762813579,-1.734274324
GRMZM2G315726,1.745104293,-1.734086302
GRMZM2G071630,1.743448425,-1.731434615
GRMZM2G428391,1.742150609,-1.730180866
GRMZM2G176375,1.740212943,-1.727293757
GRMZM2G070708,1.739669825,-1.721269817
