genes,SLB
GRMZM2G174719,5.922
GRMZM2G481440,5.914
GRMZM2G170692,5.906
GRMZM2G150876,5.890
GRMZM2G033828,5.888
GRMZM2G041685,5.885
GRMZM2G093217,5.884
GRMZM2G145446,5.875
GRMZM2G146446,5.872
GRMZM2G101245,5.871
GRMZM2G138074,5.865
GRMZM2G074761,5.854
GRMZM2G059010,5.843
AC187560.5_FG003,5.842
GRMZM2G166176,5.841
GRMZM2G168392,5.840
GRMZM2G165746,5.833
GRMZM2G467893,5.819
GRMZM2G302701,5.813
GRMZM2G376103,5.805
GRMZM2G113203,5.799
GRMZM2G035755,5.797
GRMZM2G035531,5.790
GRMZM2G096454,5.787
GRMZM2G475952,5.787
GRMZM2G085078,5.779
GRMZM2G117707,5.775
GRMZM2G115612,5.757
GRMZM2G301148,5.754
GRMZM2G021909,5.740
GRMZM2G000035,5.738
GRMZM5G877547,5.736
GRMZM2G116629,5.729
GRMZM2G133781,5.724
GRMZM2G000427,5.716
GRMZM2G375807,5.715
AC149475.2_FG007,5.714
GRMZM2G096753,5.713
GRMZM2G315726,5.707
GRMZM2G180080,5.706
GRMZM2G309258,5.706
GRMZM2G009030,5.699
GRMZM2G159962,5.692
GRMZM2G117989,5.682
GRMZM2G026143,5.679
GRMZM2G453672,5.678
GRMZM2G125648,5.676
GRMZM2G133895,5.674
GRMZM2G030673,5.670
GRMZM2G071630,5.668
GRMZM2G026189,5.661
GRMZM2G027107,5.659
GRMZM2G358830,5.657
GRMZM2G325938,5.656
GRMZM2G365957,5.655
GRMZM2G160515,5.644
GRMZM2G133613,5.641
GRMZM2G055052,5.636
GRMZM2G123977,5.633
GRMZM2G118800,5.630
GRMZM2G374827,5.624
GRMZM6G314950,5.618
GRMZM2G380789,5.617
GRMZM2G376105,5.613
GRMZM2G013079,5.596
GRMZM2G060369,5.589
GRMZM2G132478,5.584
GRMZM2G553687,5.582
GRMZM2G054125,5.576
GRMZM2G124175,5.574
GRMZM2G470010,5.563
AC225346.3_FG001,5.560
GRMZM2G040309,5.558
GRMZM2G508931,5.551
AC206332.3_FG005,5.550
GRMZM5G893912,5.547
GRMZM2G053206,5.538
GRMZM2G075438,5.531
GRMZM2G470075,5.529
GRMZM2G132093,5.525
GRMZM2G162505,5.521
GRMZM2G162250,5.517
GRMZM2G012530,5.497
GRMZM2G468657,5.493
GRMZM2G055957,5.491
GRMZM2G024331,5.486
GRMZM2G167812,5.481
GRMZM2G148904,5.476
GRMZM2G091956,5.475
GRMZM2G170602,5.470
GRMZM2G540538,5.469
GRMZM2G464393,5.467
GRMZM2G391815,5.467
GRMZM2G014797,5.466
GRMZM2G176489,5.460
GRMZM2G081582,5.460
GRMZM2G361256,5.457
GRMZM2G126865,5.447
GRMZM2G018254,5.439
GRMZM2G161891,5.438
GRMZM2G055883,5.434
GRMZM2G303509,5.434
GRMZM2G379913,5.424
GRMZM2G067373,5.424
AC177897.2_FG002,5.423
GRMZM2G325014,5.421
GRMZM2G041369,5.416
GRMZM2G139874,5.416
GRMZM2G318299,5.409
GRMZM2G135132,5.405
GRMZM2G052389,5.405
GRMZM2G371033,5.401
GRMZM2G167886,5.400
GRMZM2G139952,5.397
GRMZM2G009353,5.396
AC196412.3_FG001,5.393
GRMZM2G174730,5.376
GRMZM2G076313,5.375
GRMZM2G074687,5.372
GRMZM2G431856,5.369
GRMZM2G012140,5.368
GRMZM2G107082,5.368
GRMZM2G359018,5.366
GRMZM2G334660,5.366
GRMZM2G010016,5.357
GRMZM2G140817,5.357
GRMZM2G359986,5.356
AC214635.3_FG006,5.352
GRMZM2G163883,5.349
GRMZM2G176282,5.349
GRMZM2G179550,5.348
GRMZM2G114337,5.341
GRMZM2G045155,5.339
AC213769.3_FG001,5.334
GRMZM2G055101,5.329
GRMZM2G305822,5.328
GRMZM2G113378,5.325
GRMZM2G352855,5.325
GRMZM2G009808,5.323
GRMZM5G804783,5.310
GRMZM5G851862,5.300
GRMZM5G838098,5.296
GRMZM2G156977,5.295
GRMZM2G108712,5.272
GRMZM2G079219,5.271
GRMZM2G075794,5.268
GRMZM2G170857,5.268
GRMZM2G004590,5.264
GRMZM2G082959,5.263
GRMZM2G127251,5.263
GRMZM2G172647,5.258
GRMZM2G120163,5.257
GRMZM2G163709,5.250
GRMZM2G119270,5.250
GRMZM2G109405,5.238
GRMZM2G079082,5.235
GRMZM2G055313,5.234
GRMZM2G174834,5.232
GRMZM2G358796,5.232
GRMZM2G090087,5.228
GRMZM2G071871,5.226
GRMZM2G430623,5.223
GRMZM2G316907,5.222
GRMZM2G097641,5.220
GRMZM2G023152,5.215
GRMZM2G477139,5.211
AC193630.3_FG003,5.208
GRMZM2G025105,5.207
GRMZM2G181536,5.206
GRMZM2G080516,5.204
GRMZM2G073884,5.203
GRMZM2G147752,5.202
GRMZM2G026083,5.200
