GeneID,1H,4H,6H,24H
GRMZM2G070375,1.851832236,0,0,0
GRMZM2G070429,-0.915429087,-0.871796352,-0.714864507,0
GRMZM2G070475,0,0.633175218,0,-0.95208642
GRMZM2G070500,3.35831059,3.942487443,3.943826511,3.146774891
GRMZM2G070508,3.262179607,0,0,0
GRMZM2G070520,0.899890017,0,0,-0.523463888
GRMZM2G070562,0,0.610316131,0.793775339,0.523981032
GRMZM2G070603,-1.342202299,-1.389361574,-1.595918393,-1.944062355
GRMZM2G070605,0,-0.723462321,-1.043595388,-0.996559098
GRMZM2G070659,-0.79676161,-1.806535408,-1.934815218,-1.911950766
GRMZM2G070708,1.585777753,2.550012357,3.265224655,3.464558355
GRMZM2G070780,0,-0.770097256,0,-1.039609662
GRMZM2G070847,-0.661770731,-1.639697431,-2.000481923,-2.476774559
GRMZM2G070849,3.116194588,4.109129607,4.454556701,3.929549749
GRMZM2G070863,0,2.165852075,1.598659461,0.781761795
GRMZM2G070890,0,0,0.945001059,0
GRMZM2G070899,-0.845835022,-0.835102478,-0.59575917,0
GRMZM2G071021,2.115219833,2.240048143,1.735122588,1.87865816
GRMZM2G071023,0,-0.812914499,-0.666342786,-0.652023968
GRMZM2G071042,0,-0.865333556,-0.829478731,-0.751030099
GRMZM2G071076,1.57722664,2.049120432,1.840419753,0.752213462
GRMZM2G071087,0.799344769,0.637376292,1.012215252,1.855206006
GRMZM2G071100,0,0,-0.920979203,-0.911318998
GRMZM2G071147,0.662639999,0.627745194,0.687620907,0.802444764
GRMZM2G071154,2.314477707,1.579749298,1.221753291,1.104605008
GRMZM2G071162,0,-0.633438052,-1.009838154,-0.712826637
GRMZM2G071163,2.403130589,2.418625278,3.050621551,2.723296053
GRMZM2G071172,0,0,0,0.874961438
GRMZM2G071208,0,0,0.848604474,0.894384976
GRMZM2G071277,3.103160713,2.992516,3.003829287,2.79178459
GRMZM2G071396,-1.205259406,-2.477547906,-1.887620515,-1.238986851
GRMZM2G071401,-0.907018421,0,-0.949218786,0
GRMZM2G071478,3.634504902,3.835213903,4.163159589,3.663069427
GRMZM2G071589,0,-0.759498348,-0.896528132,-0.937952243
GRMZM2G071630,0,1.791289837,2.101718193,2.164864834
GRMZM2G071638,0,0.600511689,0.842292431,0.706868653
GRMZM2G071705,3.362405532,2.834234883,3.15552516,2.540095337
GRMZM2G071768,0,0,0.833199946,0.76719606
GRMZM2G071790,2.993770409,3.477473777,3.14773546,2.534998931
GRMZM2G071832,0,0,0,-1.285286128
GRMZM2G071871,0,1.267335448,1.478012787,0.949094959
GRMZM2G071977,-0.854279254,-0.992806793,-1.475525971,-1.908840063
GRMZM2G071996,0,-1.003767501,-1.410699645,-1.363261671
GRMZM2G072029,2.337258285,1.795771738,2.270966464,2.50463884
GRMZM2G072054,0,0,0.900134303,0.670242354
GRMZM2G072080,0.831573165,0.692883831,0.680097216,0.649722906
GRMZM2G072133,-1.367611136,-2.97613041,-1.868874876,-1.517244907
GRMZM2G072174,0,0,-0.767775971,-1.306246422
GRMZM2G072205,-0.897883884,0,-1.108524055,-1.217775414
GRMZM2G072238,1.29003146,0,0,0
GRMZM2G072264,-0.652286843,-0.950517175,-1.049642547,-0.690010266
GRMZM2G072280,0,-1.187433388,-1.57200287,-1.863709401
GRMZM2G072298,2.629496202,0,0,0
GRMZM2G072300,0,-0.611826714,-0.664414687,-0.849305761
GRMZM2G072315,0,0.554764462,0.66590195,0
GRMZM2G072406,2.166567986,1.471428315,0.956983825,2.006613507
GRMZM2G072513,1.388259226,1.438889469,1.666841554,1.326622826
GRMZM2G072518,0,0,0,-0.808459508
GRMZM2G072529,4.069507397,5.007966752,5.127139863,4.120052669
GRMZM2G072569,0,0.911470705,0.79478771,1.603110192
GRMZM2G072612,0,0,0,2.096530629
GRMZM2G072658,0,0,0,0.797368236
GRMZM2G072865,0,-0.674909542,-0.884283356,-1.081391772
GRMZM2G072890,0,-0.672866926,0,-0.831807326
GRMZM2G072911,0.979780439,1.109090648,0.895447809,0.788983116
GRMZM2G073054,0,0,-0.832306137,-0.575536795
GRMZM2G073059,-0.586779173,-1.607272833,-1.200256407,-1.349634158
GRMZM2G073077,0.620347846,0.784378455,0.796916291,0
GRMZM2G073079,3.251439568,5.988406275,5.792037609,5.044980927
GRMZM2G073223,0,-0.529490874,-1.053705076,-1.627038589
GRMZM2G073275,0,-0.948489144,-1.219763235,-1.286580541
GRMZM2G073310,1.530918765,0.953990825,1.0584427,0
GRMZM2G073351,0,-1.101872947,-1.328804384,-1.575108032
GRMZM2G073427,0,0,-1.207013833,-1.983721942
GRMZM2G073465,-0.851104232,-1.056095097,-0.967090143,0
GRMZM2G073498,0.757343778,1.226037216,1.77308502,1.688385363
GRMZM2G073521,0,-0.704761788,-0.967746145,-0.748168067
GRMZM2G073548,0,0,0,-1.223714526
GRMZM2G073571,0,0.73692595,0.589263898,0
GRMZM2G073584,0,0,0,0.646219534
GRMZM2G073693,0,0,-0.756332817,-0.949761992
GRMZM2G073725,4.759467259,3.559154375,3.969099954,3.780402901
GRMZM2G073743,-0.598731421,-0.786870507,-0.806695149,-1.082568468
GRMZM2G073755,-0.785740884,-1.190300341,-1.48180278,-1.805624836
GRMZM2G073814,1.01222065,1.510262337,1.024728581,0
GRMZM2G073826,0,-0.935220483,-0.932388915,-0.732433736
GRMZM2G073836,0,-1.036941696,0,0
