GeneID,ZmPep3
GRMZM2G336533,2.027751074
GRMZM2G033905,2.023426761
GRMZM2G039385,2.017466922
GRMZM2G101024,2.004183559
GRMZM2G168108,2.000095606
GRMZM2G435986,1.997766676
GRMZM2G170612,1.988205585
GRMZM2G440003,1.980008482
GRMZM2G004858,1.969962159
GRMZM2G015892,1.969481975
GRMZM2G091226,1.967754943
GRMZM2G382785,1.964753664
GRMZM5G862799,1.962098441
GRMZM2G006853,1.955973515
GRMZM2G003715,1.947088916
GRMZM2G159110,1.942656369
GRMZM2G351342,1.93970048
AC217910.3_FG004,1.938851838
GRMZM2G015037,1.935007083
GRMZM2G141399,1.934982021
GRMZM2G019515,1.933375037
GRMZM2G047613,1.924421828
GRMZM2G333049,1.923925756
GRMZM5G851862,1.919078838
GRMZM2G062974,1.913757142
GRMZM5G897851,1.905840222
GRMZM2G304700,1.905749021
GRMZM2G374971,1.902845823
GRMZM2G071846,1.902642796
GRMZM2G052266,1.897905513
GRMZM2G302604,1.897809262
GRMZM2G172230,1.897406038
GRMZM2G016958,1.894828319
GRMZM2G068917,1.89200778
AC205250.3_FG006,1.890750109
GRMZM2G138744,1.888241289
GRMZM2G128078,1.884790978
GRMZM2G126386,1.884645093
GRMZM2G123667,1.878821201
GRMZM2G152686,1.878223953
GRMZM2G416632,1.877691917
GRMZM2G457562,1.848745655
GRMZM5G805609,1.831632995
GRMZM2G338809,1.824795711
GRMZM2G024733,1.820885245
GRMZM5G863076,1.819964096
GRMZM2G072029,1.819353495
GRMZM2G174315,1.812127777
GRMZM2G149636,1.809199759
GRMZM2G079263,1.804692915
GRMZM2G164912,1.802036131
GRMZM2G033799,1.798726604
GRMZM2G098460,1.793961177
GRMZM2G111579,1.793796936
GRMZM2G080516,1.7930979
GRMZM2G094510,1.790709489
GRMZM2G060842,1.786270864
GRMZM2G033644,1.784614596
GRMZM2G064382,1.783875597
GRMZM2G107739,1.7800068
GRMZM2G029058,1.776291758
GRMZM2G064050,1.771677386
GRMZM2G031177,1.764943689
GRMZM2G041980,1.762813579
GRMZM2G315726,1.745104293
GRMZM2G071630,1.743448425
GRMZM2G428391,1.742150609
GRMZM2G176375,1.740212943
GRMZM2G070708,1.739669825
GRMZM2G112456,1.737628007
GRMZM2G087245,1.735218148
GRMZM2G135013,1.732831508
GRMZM2G027059,1.732802898
GRMZM2G162109,1.732471288
GRMZM2G114140,1.72975926
GRMZM2G178955,1.728653729
GRMZM2G171254,1.726299825
GRMZM2G009353,1.722977172
GRMZM2G156861,1.721548097
GRMZM2G080586,1.719605662
GRMZM2G042356,1.718991471
GRMZM2G314652,1.718844728
GRMZM2G156937,1.715108059
GRMZM2G471160,1.713875218
GRMZM2G007195,1.711400666
GRMZM2G175816,1.70889008
GRMZM5G889999,1.705229477
GRMZM2G098696,1.702342899
GRMZM5G878732,1.702245812
GRMZM2G064775,1.695629283
GRMZM2G055469,1.694332437
GRMZM2G041959,1.685734442
GRMZM2G167549,1.684420177
GRMZM2G338131,1.684275208
GRMZM5G855776,1.650863822
GRMZM2G467370,1.64948594
GRMZM2G089736,1.640241946
GRMZM2G091540,1.638251221
GRMZM5G810727,1.636021628
GRMZM2G393002,1.631556543
AC235547.1_FG005,1.62525711
GRMZM2G049790,1.615910052
GRMZM2G118172,1.613741394
GRMZM2G152549,1.613601647
GRMZM2G035222,1.612771254
GRMZM2G173596,1.597879247
AC206901.3_FG005,1.596124191
GRMZM2G170281,1.594987518
GRMZM2G147346,1.594766838
GRMZM2G152921,1.592791112
GRMZM2G041729,1.586771766
GRMZM2G175171,1.586485098
GRMZM2G010596,1.584830251
GRMZM2G138800,1.581803392
GRMZM2G139874,1.579238419
GRMZM2G069542,1.577326119
GRMZM2G437912,1.577114749
GRMZM5G899308,1.57619717
GRMZM2G417092,1.574423485
GRMZM2G007647,1.570789766
GRMZM2G127067,1.562792409
GRMZM2G005024,1.56181091
GRMZM2G081582,1.561707271
GRMZM2G093736,1.558094812
GRMZM2G338160,1.557611726
